Site code,Analyte,Date,mg/day
1335,compund x,30/11/1998,0.483109523
1335,compund x,1/12/1998,0.476754794
1335,compund x,2/12/1998,0.474098345
1335,compund x,3/12/1998,0.455069434
1335,compund x,4/12/1998,0.578833023
1335,compund x,30/01/1999,0.328773949
1335,compund x,31/01/1999,0.353716807
1335,compund x,1/02/1999,0.366347023
1335,compund x,2/02/1999,0.397432207
1335,compund x,3/02/1999,0.384183077
1335,compund x,4/02/1999,0.339872102
1335,compund x,5/02/1999,0.329400496
1335,compund x,3/04/1999,0.301881642
1335,compund x,4/04/1999,0.325378474
1335,compund x,5/04/1999,0.367206494
1335,compund x,6/04/1999,0.333755302
1335,compund x,7/04/1999,0.332074616
1335,compund x,8/04/1999,0.290346577
1335,compund x,9/04/1999,0.294421185
1335,compund x,30/05/1999,0.285002231
1335,compund x,31/05/1999,0.295060634
1335,compund x,1/06/1999,0.269830641
1335,compund x,2/06/1999,0.263202024
1335,compund x,3/06/1999,0.257299678
1335,compund x,4/06/1999,0.267148209
1335,compund x,5/06/1999,0.278677787
1335,compund x,5/08/1999,0.356119919
1335,compund x,6/08/1999,0.31517528
1335,compund x,7/08/1999,0.354648517
1335,compund x,8/08/1999,0.36556861
1335,compund x,9/08/1999,0.383702494
1335,compund x,10/08/1999,0.382649949
1335,compund x,11/08/1999,0.35078118
1335,compund x,29/01/2000,0.387473097
1335,compund x,30/01/2000,0.447897224
1335,compund x,31/01/2000,0.432401543
1335,compund x,1/02/2000,0.500367174
1335,compund x,2/02/2000,0.490451681
1335,compund x,3/02/2000,0.514249956
1335,compund x,4/02/2000,0.492007735
1335,compund x,1/04/2000,0.351813318
1335,compund x,2/04/2000,0.822797869
1335,compund x,3/04/2000,0.460537112
1335,compund x,4/04/2000,0.448246866
1335,compund x,5/04/2000,0.419262335
1335,compund x,6/04/2000,0.444445417
1335,compund x,7/04/2000,0.427438593
1335,compund x,27/05/2000,0.251632681
1335,compund x,28/05/2000,0.25155728
1335,compund x,29/05/2000,0.271787059
1335,compund x,30/05/2000,0.263303676
1335,compund x,31/05/2000,0.288634663
1335,compund x,1/06/2000,0.235483861
1335,compund x,2/06/2000,0.258275996
1335,compund x,9/08/2000,0.209624168
1335,compund x,10/08/2000,0.235537248
1335,compund x,11/08/2000,0.269500882
1335,compund x,12/08/2000,0.253417584
1335,compund x,13/08/2000,0.258171302
1335,compund x,14/08/2000,0.236938504
1335,compund x,15/08/2000,0.250321394
1335,compund x,23/09/2000,0.178606993
1335,compund x,24/09/2000,0.152927609
1335,compund x,25/09/2000,0.204891703
1335,compund x,26/09/2000,0.18823386
1335,compund x,27/09/2000,0.204585301
1335,compund x,28/09/2000,0.188889068
1335,compund x,29/09/2000,0.207512744
759,Compound x,29/11/1991,0.333574045
759,Compound x,30/11/1991,0.230999533
759,Compound x,1/12/1991,0.215952259
759,Compound x,2/12/1991,0.218902327
759,Compound x,3/12/1991,0.203444441
759,Compound x,4/12/1991,0.205964517
759,Compound x,5/12/1991,0.275665519
759,Compound x,31/01/1992,0.192701975
759,Compound x,1/02/1992,0.245854243
759,Compound x,2/02/1992,0.264981707
759,Compound x,3/02/1992,0.206456258
759,Compound x,4/02/1992,0.220867559
759,Compound x,5/02/1992,0.277391212
759,Compound x,6/02/1992,0.270813001
759,Compound x,26/03/1992,0.236871681
759,Compound x,27/03/1992,0.248661435
759,Compound x,28/03/1992,0.211855201
759,Compound x,29/03/1992,0.184927349
759,Compound x,30/03/1992,0.18700809
759,Compound x,31/03/1992,0.209470486
759,Compound x,1/04/1992,0.198929542
759,Compound x,28/05/1992,0.279940959
759,Compound x,29/05/1992,0.242650181
759,Compound x,30/05/1992,0.21739387
759,Compound x,31/05/1992,0.248666789
759,Compound x,1/06/1992,0.213770825
759,Compound x,2/06/1992,0.328988617
759,Compound x,3/06/1992,0.289725237
759,Compound x,30/07/1992,0.369652705
759,Compound x,31/07/1992,0.26697128
759,Compound x,1/08/1992,0.314157226
759,Compound x,2/08/1992,0.258424522
759,Compound x,3/08/1992,0.289345313
759,Compound x,4/08/1992,0.310815064
759,Compound x,5/08/1992,0.320707622
759,Compound x,3/10/1992,0.262968141
759,Compound x,4/10/1992,0.267757397
759,Compound x,5/10/1992,0.209034041
759,Compound x,6/10/1992,0.276463055
759,Compound x,7/10/1992,0.254567398
759,Compound x,8/10/1992,0.302092212
759,Compound x,9/10/1992,0.311953209
759,Compound x,3/12/1992,0.203015062
759,Compound x,4/12/1992,0.162324669
759,Compound x,5/12/1992,0.132918385
759,Compound x,6/12/1992,0.157811727
759,Compound x,7/12/1992,0.1240551
759,Compound x,8/12/1992,0.146202816
759,Compound x,9/12/1992,0.185641332
759,Compound x,4/02/1993,0.137206385
759,Compound x,5/02/1993,0.191224273
759,Compound x,6/02/1993,0.190776208
759,Compound x,7/02/1993,0.204228377
759,Compound x,8/02/1993,0.173149693
759,Compound x,9/02/1993,0.206234291
759,Compound x,10/02/1993,0.261243009
759,Compound x,8/04/1993,0.284967645
759,Compound x,9/04/1993,0.22715809
759,Compound x,10/04/1993,0.241271888
759,Compound x,11/04/1993,0.207852471
759,Compound x,12/04/1993,0.21585283
759,Compound x,13/04/1993,0.220673278
759,Compound x,14/04/1993,0.26073014
759,Compound x,3/06/1993,0.320163264
759,Compound x,4/06/1993,0.24330808
759,Compound x,5/06/1993,0.206189651
759,Compound x,6/06/1993,0.235940643
759,Compound x,7/06/1993,0.270452745
759,Compound x,8/06/1993,0.295780365
759,Compound x,9/06/1993,0.378489452
759,Compound x,5/08/1993,0.398768815
759,Compound x,6/08/1993,0.287100421
759,Compound x,7/08/1993,0.304628582
759,Compound x,8/08/1993,0.276191528
759,Compound x,9/08/1993,0.348786586
759,Compound x,10/08/1993,0.392624523
759,Compound x,11/08/1993,0.40449785
759,Compound x,30/09/1993,0.366538421
759,Compound x,1/10/1993,0.3193044
759,Compound x,2/10/1993,0.262483427
759,Compound x,3/10/1993,0.302747875
759,Compound x,4/10/1993,0.340619792
759,Compound x,5/10/1993,0.364673577
759,Compound x,6/10/1993,0.414278982
759,Compound x,2/12/1993,0.385109058
759,Compound x,3/12/1993,0.30529371
759,Compound x,6/12/1993,0.294651663
759,Compound x,7/12/1993,0.199918787
759,Compound x,8/12/1993,0.53077207
759,Compound x,3/02/1994,0.498845931
759,Compound x,4/02/1994,0.352517791
759,Compound x,5/02/1994,0.347196768
759,Compound x,6/02/1994,0.363824965
759,Compound x,7/02/1994,0.331233698
759,Compound x,8/02/1994,0.47689671
759,Compound x,9/02/1994,0.442975186
759,Compound x,31/03/1994,0.490864396
759,Compound x,1/04/1994,0.361164454
759,Compound x,2/04/1994,0.335889593
759,Compound x,3/04/1994,0.367150605
759,Compound x,6/04/1994,0.337219849
759,Compound x,2/06/1994,0.835922354
759,Compound x,3/06/1994,0.485171509
759,Compound x,4/06/1994,0.338574988
759,Compound x,5/06/1994,0.269984715
759,Compound x,6/06/1994,0.347718767
759,Compound x,7/06/1994,0.41812857
759,Compound x,8/06/1994,0.640129812
759,Compound x,2/08/1994,0.458137895
759,Compound x,3/08/1994,0.336538822
759,Compound x,4/08/1994,0.310817347
759,Compound x,5/08/1994,0.280742339
759,Compound x,6/08/1994,0.3444028
759,Compound x,7/08/1994,0.439235411
759,Compound x,8/08/1994,0.466400667
759,Compound x,3/10/1994,0.398345835
759,Compound x,5/10/1994,0.322081995
759,Compound x,8/10/1994,0.458398963
759,Compound x,2/12/1994,0.370571263
759,Compound x,3/12/1994,0.311659934
759,Compound x,4/12/1994,0.282007913
759,Compound x,5/12/1994,0.343045912
759,Compound x,6/12/1994,0.370212703
759,Compound x,7/12/1994,0.342520958
759,Compound x,8/12/1994,0.427871916
759,Compound x,2/02/1995,0.369649514
759,Compound x,3/02/1995,0.537937736
759,Compound x,4/02/1995,0.441355481
759,Compound x,5/02/1995,0.370833171
759,Compound x,6/02/1995,0.387965621
759,Compound x,7/02/1995,0.427023313
759,Compound x,8/02/1995,0.428414692
759,Compound x,14/04/1995,0.5502925
759,Compound x,15/04/1995,0.4375979
759,Compound x,16/04/1995,0.398649009
759,Compound x,17/04/1995,0.451283513
759,Compound x,18/04/1995,0.476776118
759,Compound x,19/04/1995,0.513199346
759,Compound x,1/06/1995,0.405941024
759,Compound x,2/06/1995,0.391569678
759,Compound x,3/06/1995,0.375962648
759,Compound x,4/06/1995,0.416303079
759,Compound x,5/06/1995,0.441481782
759,Compound x,6/06/1995,0.536193807
759,Compound x,3/08/1995,0.470001553
759,Compound x,4/08/1995,0.450792646
759,Compound x,5/08/1995,0.44334111
759,Compound x,6/08/1995,0.480891007
759,Compound x,7/08/1995,0.505906782
759,Compound x,8/08/1995,0.551542259
759,Compound x,9/08/1995,0.590267788
759,Compound x,12/10/1995,0.461872682
759,Compound x,13/10/1995,0.449792562
759,Compound x,14/10/1995,0.437908931
759,Compound x,15/10/1995,0.446171193
759,Compound x,16/10/1995,0.498354735
759,Compound x,17/10/1995,0.446577414
759,Compound x,18/10/1995,0.536912983
759,Compound x,30/11/1995,0.557809492
759,Compound x,1/12/1995,0.582769565
